Gender,Province of Origin,Residence Status,Last Education,Job,Marital Status,income_clean,age,Skor_Literasi,Skor_Adopsi_Fintech,Skor_Perilaku_Bijak,Skor_Impulsif,Skor_Rasa_Aman,Jumlah Rekening Penerima Pinjaman Aktif (entitas),Jumlah Dana yang Diberikan (Rp miliar),Jumlah Rekening Pemberi Pinjaman (akun),TWP 90%,Jumlah Penerima Pinjaman (akun),Outstanding Pinjaman (Rp miliar),Jumlah Penduduk (Ribu),PDRB (Ribu Rp),Urbanisasi (%)
Female,Jawa Tengah,Rental House,Senior High School,Student,Not Married,2000000.0,22,3.125,2.888888888888889,2.6363636363636362,2.3333333333333335,2.888888888888889,2637739,29.46,59501.0,2.77,1553694,6962.05,38233.9,47972,60.8
Male,DKI Jakarta,Parents House,Senior High School,Student,Not Married,2000000.0,21,3.0625,3.111111111111111,3.5454545454545454,2.0,2.6666666666666665,2708907,20964.0,9272715.0,3.56,2324200,12838.89,10678.0,344350,100.0
Female,Jawa Tengah,Family House,Bachelor (S1)/Diploma IV,Student,Not Married,2000000.0,21,3.1875,2.3333333333333335,3.1818181818181817,2.0,2.888888888888889,2637739,29.46,59501.0,2.77,1553694,6962.05,38233.9,47972,60.8
Female,Jawa Barat,Parents House,Senior High School,Student,Not Married,2000000.0,22,3.0,3.0,2.909090909090909,2.6666666666666665,2.4444444444444446,6818787,251.24,143127.0,3.41,4705372,20751.93,50759.0,56080,89.3
Female,Sumatera Utara,Family House,Senior High School,Student,Not Married,2000000.0,21,2.875,2.7777777777777777,2.727272727272727,1.6666666666666667,3.0,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
Male,Sumatera Utara,Dormitory,Bachelor (S1)/Diploma IV,Student,Not Married,2000000.0,22,3.0,3.0,3.0,3.0,2.4444444444444446,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
Male,Sumatera Utara,Family House,Senior High School,Student,Not Married,2000000.0,23,3.875,2.6666666666666665,3.3636363636363638,1.0,3.7777777777777777,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
Male,Jawa Tengah,Rental House,Senior High School,Student,Not Married,2000000.0,21,2.875,2.6666666666666665,2.909090909090909,2.0,2.5555555555555554,2637739,29.46,59501.0,2.77,1553694,6962.05,38233.9,47972,60.8
Female,Sumatera Utara,Rental House,Senior High School,Student,Not Married,2000000.0,21,3.0,3.0,3.0,3.0,2.888888888888889,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
Male,Sumatera Selatan,Rental House,Senior High School,Student,Not Married,2000000.0,22,3.0,3.0,3.0,3.0,2.4444444444444446,577990,8.6,4120.0,2.66,334613,1728.24,8928.5,75132,40.1
Female,Sumatera Utara,Parents House,Senior High School,Student,Not Married,2000000.0,21,2.875,3.0,3.0,3.0,2.4444444444444446,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
Female,Jawa Tengah,Parents House,Senior High School,Student,Not Married,2000000.0,21,2.75,1.7777777777777777,2.909090909090909,3.3333333333333335,2.5555555555555554,2637739,29.46,59501.0,2.77,1553694,6962.05,38233.9,47972,60.8
Male,Sumatera Utara,Parents House,Bachelor (S1)/Diploma IV,Student,Not Married,2000000.0,21,3.0625,1.8888888888888888,2.6363636363636362,3.0,2.2222222222222223,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
Female,Banten,Rental House,Senior High School,Student,Not Married,2000000.0,21,3.0625,3.0,2.909090909090909,1.3333333333333333,3.3333333333333335,1742274,601.94,83677.0,2.73,1244263,6226.21,12537.4,70276,84.9
Female,Jawa Tengah,Parents House,Senior High School,Student,Not Married,2000000.0,22,2.8125,2.5555555555555554,3.090909090909091,2.0,2.5555555555555554,2637739,29.46,59501.0,2.77,1553694,6962.05,38233.9,47972,60.8
Female,Jawa Tengah,Rental House,Senior High School,Student,Not Married,2000000.0,22,3.0,3.0,2.909090909090909,2.0,3.0,2637739,29.46,59501.0,2.77,1553694,6962.05,38233.9,47972,60.8
Male,Jawa Barat,Family House,Senior High School,Student,Not Married,2000000.0,21,2.9375,3.0,2.727272727272727,2.0,2.4444444444444446,6818787,251.24,143127.0,3.41,4705372,20751.93,50759.0,56080,89.3
Male,Sumatera Utara,Parents House,Senior High School,Student,Not Married,2000000.0,22,3.375,3.0,3.0,2.3333333333333335,2.3333333333333335,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
Female,Sumatera Utara,Rental House,Senior High School,Student,Not Married,2000000.0,21,3.125,3.0,3.090909090909091,2.0,2.7777777777777777,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
Female,Kepulauan Riau,Rental House,Senior High School,Student,Not Married,2000000.0,21,2.8125,2.4444444444444446,2.909090909090909,2.6666666666666665,2.3333333333333335,309076,7.83,9212.0,1.8,180411,993.02,10678.0,161424,85.3
Female,Sumatera Utara,Rental House,Senior High School,Student,Not Married,2000000.0,22,2.8125,2.2222222222222223,2.727272727272727,2.3333333333333335,2.6666666666666665,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
Female,Sumatera Utara,Rental House,Senior High School,Student,Not Married,2000000.0,20,3.375,3.0,3.727272727272727,2.6666666666666665,2.7777777777777777,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
Female,Jawa Tengah,Rental House,Senior High School,Student,Not Married,2000000.0,22,2.8125,2.5555555555555554,2.4545454545454546,2.0,2.2222222222222223,2637739,29.46,59501.0,2.77,1553694,6962.05,38233.9,47972,60.8
Female,Jawa Tengah,Parents House,Senior High School,Student,Not Married,2000000.0,22,3.3125,2.6666666666666665,3.5454545454545454,1.6666666666666667,2.6666666666666665,2637739,29.46,59501.0,2.77,1553694,6962.05,38233.9,47972,60.8
Male,Sumatera Utara,Parents House,Senior High School,Student,Not Married,2000000.0,21,2.375,2.4444444444444446,2.6363636363636362,2.0,2.3333333333333335,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
Female,Sumatera Utara,Rental House,Bachelor (S1)/Diploma IV,Student,Not Married,2000000.0,22,2.3125,2.2222222222222223,2.8181818181818183,2.6666666666666665,2.5555555555555554,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
Female,Jawa Tengah,Rental House,Senior High School,Student,Not Married,2000000.0,22,3.125,3.0,3.0,2.0,2.7777777777777777,2637739,29.46,59501.0,2.77,1553694,6962.05,38233.9,47972,60.8
Male,Jawa Tengah,Parents House,Senior High School,Student,Not Married,2000000.0,21,3.0625,3.111111111111111,3.0,1.6666666666666667,2.5555555555555554,2637739,29.46,59501.0,2.77,1553694,6962.05,38233.9,47972,60.8
Female,Sumatera Utara,Parents House,Senior High School,Student,Not Married,2000000.0,21,1.9375,2.7777777777777777,3.0,3.3333333333333335,2.4444444444444446,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
Female,Banten,Boarding House,Bachelor (S1)/Diploma IV,Student,Not Married,2000000.0,20,3.0,2.3333333333333335,2.909090909090909,2.3333333333333335,2.2222222222222223,1742274,601.94,83677.0,2.73,1244263,6226.21,12537.4,70276,84.9
Female,Sumatera Barat,Rental House,Bachelor (S1)/Diploma IV,Student,Not Married,2000000.0,23,3.8125,3.4444444444444446,3.727272727272727,2.3333333333333335,3.0,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Parents House,Bachelor (S1)/Diploma IV,Student,Not Married,2000000.0,22,3.125,2.4444444444444446,3.0,1.3333333333333333,2.6666666666666665,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Boarding House,Senior High School,Student,Not Married,2000000.0,22,3.3125,2.4444444444444446,2.4545454545454546,2.3333333333333335,2.5555555555555554,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Rental House,Bachelor (S1)/Diploma IV,Student,Not Married,2000000.0,23,3.1875,2.2222222222222223,2.5454545454545454,1.6666666666666667,3.0,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Family House,Senior High School,Student,Not Married,2000000.0,22,2.5625,2.111111111111111,2.3636363636363638,2.0,2.5555555555555554,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Parents House,Senior High School,Student,Not Married,2000000.0,25,2.875,3.0,3.0,1.6666666666666667,2.888888888888889,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
